text,label,split
nhật_bản yêu_cầu lắp_đặt phanh tự_động mẫu xe_khách mới,11,train
7 5 triệu đồng mua galaxy s5 au hay xperia z3 au,0,train
ngày hàng nghìn du_khách đổ đường_ngắm hoàng_hôn ở mỹ,1,train
định_hướng nào đội_tuyển việt_nam thời hlv hữu_thắng,9,train
2 sản_phụ tử_vong bất_thường sinh con,7,train
tin_tức giáo_dục 24 h cán_bộ trường cao_đẳng nghề phú_thọ tố hàng_loạt sai_phạm hiệu_trưởng,2,train
giá mía giá đường đâu lối_thoát người nông_dân,5,train
hoa_lan hình mặt quỷ quý_hiếm ở colombia,4,train
loạt tiện_ích thông_minh chiều lòng khách_hàng thời covid 19,0,train
đình_chỉ tài_xế lái_xe bằng chân cao_tốc trung_lương tp hcm,10,train
cứu sống một bệnh_nhân đâm thủng tim,7,train
iran tung video tố mỹ bịa ở vịnh ba tư,8,train
ẩn cách ứng_xử giống ai khách_hàng cũ vinfast,11,train
hàng trăm hành_khách săn vé máy_bay giá rẻ hội_chợ du_lịch,1,train
hai laptop 3 màn_hình 4k trộm ces 2017,0,train
dẫn đối_tác gặp đại_gia lê_thanh_thản diễn màn lừa ngoạn_mục,6,train
gãy 10 xương sườn cơn ho,7,train
khởi_tố vụ án ném vỡ kính xe tuần_tra csgt,6,train
bi_kịch bé gái khuôn_mặt già bà lão,8,train
bất_ngờ nhan_sắc đời thực chị google,0,train
galaxy_s 10 bản thử_nghiệm lộ ảnh,0,train
xác_định kiểm_lâm vườn_quốc_gia yok_đôn tử_vong đuối nước,6,train
sở_hữu_trí_tuệ thực_sự động_lực đổi_mới sáng_tạo,4,train
mắt cận_thị thi bằng a 2,11,train
iphone mini trung_quốc đội_lốt hàng thái_lan,0,train
nhà trình tường hàng trăm_năm đổi ở lạng_sơn,1,train
đối_tượng nổ_súng bắn vợ_chồng anh_trai tự_sát,6,train
mua_tv_led 40 inch nào,0,train
chứng_khoán việt_nam chịu ảnh_hưởng bầu_cử tổng_thống mỹ,5,train
nắn trật khớp thầy_lang bẻ gãy xương đùi bệnh_nhân,7,train
doanh_nghiệp khai_thác quặng sắt kêu cứu,5,train
công_chúa thái_lan dự hội_nghị về cỏ chống xói_mòn ở đà_nẵng,4,train
triều_tiên dừng cấp visa lễ mừng 70 năm quốc_khánh,1,train
thắng_philippines 3 1 kyrgyzstan gây áp_lực việt_nam,9,train
dân dựng lều phản_đối nhà_máy thép nằm im 3 tháng,10,train
em bé tấm tôn xe_hàng cắt cổ,7,train
tphcm tiếp_tục công_khai chủ đầu_tư cắm dự_án ngân_hàng,5,train
yêu_cầu thu_hồi tên_miền zalo vn hoạt_động mạng xã_hội phép,0,train
bắt kẻ đột_nhập tiệm vàng trộm hơn 90 lượng,6,train
ngôi nhà 950 triệu sàn phẳng lỳ trẻ bò thoải_mái,12,train
tiểu_thương bùi_viện chuẩn_bị hàng_quán nóng_lòng mở_cửa trở_lại,5,train
thùng rác tái_chế thông_minh đựng khẩu_trang,4,train
trẻ mắc tay_chân miệng tăng nắng_nóng,7,train
bộ_trưởng gtvt lo hạ_tầng giao_thông tp hcm phát_triển thêm,10,train
so_sánh kích_thước loài bọ_cạp lớn nhất thế_giới,4,train
bé gái còn nguyên dây rốn hầm vệ_sinh,10,train
từ_chối thuê phòng người chuyển giới,1,train
2 ngón chân gần đứt lìa nối_ghép thành_công,7,train
inter_milan trở_lại ngôi đầu_bảng serie_a,9,train
xe nào thu_hồi đăng_ký biển số_từ 1 8 2020,11,train
hồ_ngọc_hà ôm vai kim_lý tụ_tập đầu năm btv ngọc_trinh,3,train
chọn màu trang_phục ngày đầu năm may_mắn,12,train
sĩ_quan phản_gián liên_xô cao_tay qua_mặt mỹ,8,train
kiểu hoá_trang nghệ_sĩ make up fantasy,3,train
trang_trần kết_hôn ông_xã việt_kiều,3,train
bộ giao_thông vận_tải xin điều_chỉnh tiến_độ thu phí dừng,10,train
cổng trường sập đè chết ba học_sinh,10,train
trường top đầu ở hà_nội công_bố điểm_chuẩn,2,train
mini_clubman kẻ nghịch ngầm dân_chơi xe việt,11,train
vụ trẻ ăn cơm mốc đầu cá 11 giáo_viên tố_cáo hiệu_trưởng,2,train
tử_vi 12 cung hoàng_đạo ngày 10 9,12,train
xu_hướng sử_dụng vật_liệu xanh trong xây_dựng,5,train
trông con nhà giàu mùa dịch giúp_việc thời_vụ kiếm hàng chục triệu,5,train
iphone 6 chính hãng giảm 2 2 triệu đồng fpt shop,0,train
thị_trường fintech việt chuyển_mình đáng kỳ_vọng,0,train
tàu phá băng hạt_nhân lớn nhất mạnh nhất thế_giới nga,8,train
thay_đổi cách dạy tiếng_anh,2,train
du_khách mê_mẩn vẻ đẹp vườn hoa tam_giác mạch phố núi,1,train
thú chơi xương_rồng sen đá,12,train
google làm clip chia vui tấm hcv olympic hoàng_xuân_vinh,9,train
nghỉ_dưỡng đẳng_cấp giá ưu_đãi khách_sạn 5 sao ở cần_thơ,1,train
bộ lông độc_nhất_vô_nhị chó hoang châu_phi,4,train
vận_động 637 triệu phụ_huynh giáo_viên lớp 1 ở hải_phòng kỷ_luật,2,train
ô_tô động_cơ lớn sắp gánh phí môi_trường cao,5,train
bộ sưu_tập váy cưới tuyệt đẹp oscar_de_la_renta,3,train
mảng màu cuộc_sống hà_nội ảnh,3,train
trần_thu_hà đối_đầu nguyễn_quang_dũng ghế nóng,3,train
đến black_friday bực_mình 1 sự_thật đen_tối,5,train
5 kỹ_năng chạy môtô xa_lộ,11,train
bạn bắt_cóc thanh_niên lao thẳng ô_tô đám giang_hồ giải_cứu,6,train
hình_ảnh khu cách_ly tập_trung đón 4 000 người ở thủ_đô,10,train
xét_nghiệm người đến bệnh_viện bạch_mai 14 ngày,7,train
hãng hàng_không bay mọi hề cất_cánh,1,train
voi đầu_đàn đuổi sư_tử liên_tiếp bỏ chạy,4,train
vietcombank nhận giải dịch_vụ ngoại_hối quản_lý tiền_mặt tốt nhất vn,5,train
hương_vị bánh trung_thu hong_kong,1,train
lá thư âm_nhạc một giấc mơ dài 20 năm,3,train
leonardo_dicaprio anh_em song_sinh,3,train
trắc_nghiệm món ăn không_thể thiếu trong ngày tết ba miền,12,train
mâu_thuẫn trong quán cà_phê võng rút dao đâm chết bạn,6,train
người_yêu đòi chia_tay nam thanh_niên mua xăng về tự_thiêu chết,6,train
samsung galaxy a31 giá 6 5 triệu đồng,0,train
trong chờ mổ tử_thi người đàn_ông bất_ngờ sống,7,train
cặp sao captain_marvel thân_thiết quay_phim ở việt_nam,3,train
cảm_động cảnh nai mẹ âu_yếm động_viên nai con hoảng_sợ,1,train
cá_sấu cưng hitler chết tuổi già,4,train
djokovic khẳng_định bình_phục chấn_thương,9,train
doanh_nghiệp nhà_khoa_học bắt_tay sáng_tạo sản_phẩm mới,4,train
10 khoảnh_khắc kỳ_diệu tự_nhiên nhất_định xem mở_mang tầm_mắt,4,train
đh kinh_tế luật đào tạo nhân_lực tây_nam_bộ tây_nguyên,2,train
lưu_ý vàng tài_xế xe_tải tránh nguy_cơ lật,11,train
dự_báo thời_tiết 15 4 hà_nội sáng rét trưa hửng nắng,10,train
ba thói_quen làm ảnh_hưởng đến sức_khoẻ bạn,7,train
lí_do lăng_mộ vị pharaoh nổi_tiếng nhất ai_cập ngập_tràn đồ_ăn,8,train
xét_nghiệm giúp điều_trị viêm loét dạ_dày hiệu_quả,7,train
tấm nhựa_đường nổi mặt_nước ở sài_gòn,11,train
vùng núi cao nghệ_an 0 độ c băng_giá phủ cây_cối,4,train
lý_do khăn mặt ga trải giường ở khách_sạn luôn màu trắng,5,train
siêu xe aston_martin 3 5 triệu usd james_bond bắt_đầu sản_xuất,11,train
người_dân hợp_lực lật ô_tô thông đường xe chữa_cháy,11,train
11 lỗi dù chỉnh thế_nào đàn_ông mắc,12,train
tên cướp nổ phát súng uy_hiếp nạn_nhân bỏ chạy đạn kẹt,6,train
giới đầu_tư rủ nhau rời phố núi tìm second home,1,train
nằm_lòng một chuyến du_lịch cắm trại,1,train
bv nhi_tư tố dùng thuốc kháng_sinh hết hạn bệnh_nhi,7,train
nữ_sinh lớp 7 bạn đánh hội_đồng,2,train
15 000 đồng một con bào_ngư hàn_quốc,5,train
van_gaal mu may_mắn quả phạt_đền,9,train
thắng nghẹt_thở phút bù giờ ông park_hang_seo vui,9,train
lượng người đà_nẵng về hà_nội thống_kê 72 000 người,10,train
mỹ trừng_phạt bộ_trưởng quốc_phòng cuba,8,train
đảm_bảo cung_ứng xăng_dầu yêu_cầu doanh_nghiệp chia_sẻ dù lỗ,5,train
hlv u22 uae ấn_tượng u22 việt_nam,9,train
frieslandcampina việt_nam đón_nhận huân_chương lao_động hạng nhất,5,train
bên trong nhà_tù dát vàng gần 9 000 usd một đêm,1,train
cá_sấu hơn 2m doạ du_khách chạy tán_loạn,1,train
tình_nguyện_viên lặn vớt rác biển,10,train
nghệ_sĩ trung_quốc nhận chỉ_trích mất danh_tiếng dịch covid 19,3,train
giọt nước_mắt lau vội trong lễ bế_giảng thpt việt_đức,2,train
mỹ bất_lực thuần_phục sét làm vũ_khí,4,train
8 lợi_ích ăn_theo chế_độ giảm tinh_bột,7,train
thaco ưu_đãi lớn nhất năm mazda cx 8,11,train
ôtô điên_cuồng húc bay rào_chắn đường_phố,11,train
nhật_bản mở_cửa biên_giới đón khách du_lịch,1,train
tắt giọng suốt 2 năm quên răng giả trong thanh_quản,7,train
lùi công_bố kết_quả thanh_tra giá điện,5,train
sự_thật về người phụ_nữ sinh 69 con,12,train
cận_cảnh hàng_loạt homestay trái_phép trong vùng lõi di_sản tràng_an,1,train
hagl đủ sức_mạnh vô_địch v league 2020,9,train
ném quả bóng tìm bạn trai 6 năm cô gái nhận_lời đáp,12,train
tên_lửa falcon 9 spacex nổ tung giữa không_trung,4,train
thêm công_ty huy_động vốn triệu đô bất_ngờ biến mất,5,train
shinee snsd sj thẫn_thờ đưa_tang jonghyun,3,train
nokia 8 về việt_nam giá 13 triệu đồng,0,train
cảnh_báo nguy_cơ lây_nhiễm mầm bệnh ngoài trái_đất,4,train
lao đuôi xe container bên đường 2 thanh_niên tử_vong tại_chỗ,10,train
người hiện_đại tới châu_á sớm hơn châu_âu,4,train
lợi_ích tuyệt_vời giảm cân bạn biết,7,train
iphone x plus iphone giá rẻ lộ mô_hình 3d,0,train
tại_sao tỏi xem khả_năng trừ_tà,12,train
vợ phát_hiện chồng phòng_nhì nhờ xem show truyền_hình,12,train
bắt đối_tượng vận_chuyển hơn 20kg thuốc_nổ tnt,6,train
minh sâm phủ_nhận chỉ_đạo đàn_em chèn_ép chủ gỗ,6,train
điểm_chuẩn trúng_tuyển trường đh công_nghệ tp hcm trường đh kinh_tế tài_chính tp hcm,2,train
aston_martin bắt_tay doanh_nghiệp trung_quốc,11,train
canon 7d mark ii trễ hẹn khó_khăn sản_xuất cảm_biến,0,train
phần tất_yếu cuộc_sống thủ_khoa mê thế_giới mạng,0,train
máy_bay mexico chở 101 người rơi cất_cánh,8,train
bệnh_viện bưu_điện miễn_phí khám thụ_tinh ống_nghiệm,7,train
tìm smartphone ít lỗi tầm 5 triệu đồng,0,train
bắt nhóm dùng súng bắn chết một cô gái trẻ,6,train
vòng trang_sức 3 000 năm_tuổi bằng vàng nguyên_chất,4,train
thuỵ_điển khôi_phục căn_cứ hải_quân ngầm lớn nhất thế_giới,8,train
quý ông sài_gòn làm ám_ảnh ở phố tây_bùi_viện,12,train
ngư_dân hốt_hoảng bắt quái_vật biển dài tới 6 5 m,1,train
knock_out the king cuộc đua người quả_cảm,5,train
6 cựu quan_chức đường_sắt làm đơn kháng_cáo,6,train
lãi_ròng sbt tăng hơn gấp đôi kỳ,5,train
đánh_giá chi_tiết asus_zenfone 2,0,train
doanh_nghiệp nhật_bản liên_minh phát_triển đồng yen kỹ_thuật_số,0,train
quản_lý khách_sạn chỉ_trích dữ_dội bôi_đen mặt,1,train
trung_quốc lắp_đặt thành_công cầu nhựa in 3d đầu_tiên,4,train
nguy_cơ mù 22 năm ăn rau quả,7,train
bài phát_biểu năm mới jong_un hé lộ,8,train
cánh đồng_cỏ lau đẹp thơ_mộng giữa lòng hà_nội,1,train
500 triệu mua suzuki_swift hay hyundai i 10,11,train
dàn thử tên_lửa đẩy khổng_lồ nasa,4,train
joe_hart bất_ngờ chuyển sang thi_đấu serie_a,9,train
lợi_ích ăn dưa_hấu,7,train
ông trump cấm bay boeing 737 max 8 hãng sản_xuất khốn_đốn,8,train
243 phụ_nữ mang thai về đài_loan cách_ly ở quảng_nam,10,train
việt_nam ảnh_hưởng thế_nào cuộc_chiến thương_mại leo_thang,5,train
kết_quả bóng_đá hôm_nay 6 8,9,train
ba người thiệt_mạng trong buổi ăn_mừng vô_địch ở chile,9,train
việt_nam ghi_nhận 1 ca mắc covid 19 mỹ về,7,train
giám_đốc sở giáo_dục đào_tạo hoà_bình xin nghỉ chữa bệnh,10,train
khoa_học công_nghệ góp_phần rõ_rệt thúc_đẩy tăng năng_suất,2,train
evnnpt báo lãi hơn 1 080 tỷ đồng,5,train
tổng_thống putin vũ_khí laser mới nga khủng khoa_học_viễn_tưởng,8,train
mẹ nhốt con ghế thoả sức đánh_bạc,8,train
hilary_duff xinh_đẹp hơn tăng cân,3,train
hoặc bạn từ_bỏ hoặc bạn cố_gắng sống_sót,3,train
mối tình buồn nhạc_sĩ lam_phương,3,train
phone_se 2 hỗ_trợ sạc dây,0,train
bí_ẩn hòn đảo miễn_nhiễm ncov,7,train
9 dấu_hiệu chấm_dứt mối quan_hệ bạn,12,train
bài_toán siêu học búa 0 001 người giải,2,train
gần 3 000 tỷ đổ thị_trường vn index vọt tăng hơn 20 điểm,5,train
tin_tức giáo_dục 24 h tiết_lộ lí_do tiếng việt 1 công_nghệ giáo_dục thành sách_giáo_khoa,2,train
mc thanh_bạch vui_vẻ sánh_vai người_tình tin_đồn,3,train
nhà_khoa_học vật_lý 37 tuổi kể đeo_đuổi đến_cùng sống khoa_học,4,train
asus_zenbook_pro_duo laptop hai màn_hình oled 4k,0,train
quốc_hội hà_nội tự_quyết thu tăng phí,10,train
cách lấy thông_tin bên trong hố_đen,4,train
người_dân thái_lan tin_tưởng đội nhà đánh_bại tuyển việt_nam,9,train
loại cây_cảnh tốt nhất nhà_tắm phòng ngủ bếp nhà bạn,12,train
đàn cá_heo bơi biển cửa đại,10,train
gần 30 năm hơn 3000 ca ghép tạng,7,train
tổng_giám_đốc pnj tham_vọng chinh_phục khách_hàng miền bắc,5,train
giảm_giá vé hang_động nổi_tiếng quảng_bình,1,train
bằng_kiều ép quang_hà phải_chi thêm tiền mới chịu diễn hài,3,train
tranh_cãi bất phân thất_bại nghị_sĩ lao ẩu_đả giữa quốc_hội,8,train
phim_trường hối_hả gia_đình số 1 hạt_giống tâm_hồn mùa giãn cách,3,train
ios 11 3 mới nhất jailbreak,0,train
chiến_tranh thương_mại mỹ trung nhìn phía bắc_kinh,8,train
mỹ thêm 10 000 ca mắc covid 19 ông trump sốt_ruột mở_cửa kinh_tế,8,train
tiết_lộ ông putin thường làm chuyên_cơ tổng_thống,8,train
chi_tiết phiếu bầu trong cuộc đua quả bóng vàng 2014,9,train
người dơi siêu anh_hùng nhẵn_mặt điện_ảnh,3,train
facebook twitter instagram đồng_loạt gỡ video vận_động tranh_cử trump,0,train
70 tuổi bố chồng tôi_đòi cưới bạn thân con dâu,12,train
chồng đối_diện án tù doạ bỏ vợ,6,train
tv uhd màn_hình cong đầu_tiên thế_giới sắp đến vn,0,train
dự_báo thời_tiết 20 4 nắng_nóng khắp 3 miền 37 độ,10,train
bốn thanh_niên đập phá xe cảnh_sát ở tp hcm lĩnh án,6,train
khu chợ bán 700 000 tấn hải_sản năm,1,train
hà_tĩnh triệt_phá ổ_nhóm sản_xuất mì_chính giả,6,train
điểm_chuẩn trúng_tuyển đh sài_gòn cao nhất 26 18 điểm,2,train
tphcm đón con 18 tháng tuổi nhà_trẻ về hai chân bỏng rộp mẹ khóc thành tiếng,2,train
lợi_ích tour du_lịch xin visa mỹ,1,train
báo hàn phát cuồng son_heung_min,9,train
thời_trang rơm ở đường lâm hút_hồn khách tây,1,train
đội_hình bom tấn miễn_phí trong kỳ chuyển_nhượng hè 2020,9,train
rét ngày xuân lưu_ý,7,train
trung_quốc còn quốc_gia đông dân nhất thế_giới,8,train
phạm_tội ấu dâm ở anh điềm_nhiên sang vn chơi nhạc,8,train
hàng trăm_nghìn linh_dương chết bí_ẩn ở kazakhstan,4,train
người việt chịu chi sức_khoẻ,7,train
ghé chợ hải_sản ở nhật thưởng_thức món hàu sống khổng_lồ,1,train
4 trạm bot bình_phước giảm phí tỉnh nghèo,5,train
vostro 7570 laptop_gaming văn_phòng mới doanh_nhân,0,train
thực_hư cuộc đua ai mỹ _trung,0,train
quan_chức mỹ tới triều_tiên chuẩn_bị cuộc gặp trump kim,8,train
nghị_sĩ philippines lo trung_quốc âm_thầm triển_khai quân_đội sòng bạc,8,train
thác nước cao 75 m đóng_băng trong giá_lạnh 35 độ c,4,train
phụ_nữ lái_xe ô_tô bỏ kẻo gây hoạ lớn,11,train
một tỷ mua civic bản mới hay mazda 6,11,train
công_cụ giúp vô_hiệu_hoá touchpad gõ văn_bản laptop,0,train
u22 việt_nam thầy park bắt_tay làm thôi đừng than_thở,9,train
quên đi bệnh_tật hoà chung niềm vui u23 việt_nam,7,train
lừa 34 người hơn 3 tỷ đồng lo chạy chạy _trường,6,train
hlv guillaume công_phượng cầu_thủ 10 năm một,9,train
mở bán 57 căn biệt_thự đẹp nhất đảo hòn tre nha_trang,5,train
tắm mùi già cuối năm những_ai tuyệt_đối,7,train
dân chịu quốc_hội ca_ngợi thành_tích,10,train
người đàn_ông đục quả đồi xây nhà,12,train
lần ông park phản_ứng quyết_liệt bảo_vệ học_trò,12,train
8 lý_do khiến bạn đột_ngột quên mọi thứ,7,train
vinfast công_bố ngô_thanh_vân đại_sứ thương_hiệu,11,train
nữ_sinh tử_nạn đường tham_quan sơn_trà,10,train
mệt_mỏi đau_đớn sao bác_sĩ tìm bệnh,7,train
cảnh_báo trò thử_thách cá_voi xanh giăng bẫy học_sinh,2,train
nam thanh_niên cầm dao quơ loạn_xạ tự_sát,6,train
phát_động giải báo_chí 75 năm quốc_hội việt_nam,10,train
only_c kể tình hạnh_phúc trong thấy yêu_thương,3,train
hung_thần container lưu_ý tránh xa hiểm_hoạ,11,train
google chính_thức dừng hoạt_động dự_án mạng xã_hội thất_bại google,0,train
ba kỹ_sư chết thi_công ống dẫn khí gas ở thái_bình,5,train
ô_tô ford giá tương_đương 165 triệu phiên_bản mới,11,train
giải_pháp phòng sinh non sảy thai viêm_nhiễm phụ_khoa,7,train
xem quái_vật bọc thép nga dọn đường phá tường,8,train
quán cà_phê phong_cách biệt_động sài_gòn,1,train
cựu_tổng_thống mỹ jimmy_carter sẵn_sàng đến triều_tiên phá vỡ bế_tắc hạt_nhân,8,train
bắt quả_tang 3 đối_tượng buôn_bán ma_tuý trong khách_sạn,6,train
